"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.019267","0.075937","0.073096","0.027143","0.027198","0.026861","0.014745","0.011561","0"
"0.02746","0.062979","0.080119","0.03171","0.027759","0.028049","0.013695","0.012045","0"
"0.027405","0.081747","0.1148","0.032156","0.026323","0.024272","0.014015","0.01264","0"
"0.025438","0.044702","0.097047","0.03266","0.023703","0.020647","0.011022","0.010953","0"
"0.073955","0.080245","0.04345","0.029335","0.022886","0.023682","0.015338","0.01695","0"
"0.025296","0.071161","0.099244","0.030229","0.029997","0.029902","0.014337","0.012531","0"
"0.023329","0.053759","0.086433","0.0311","0.029568","0.026432","0.013779","0.012764","0"
"0.036291","0.046161","0.071355","0.032405","0.026287","0.023381","0.012501","0.011516","0"
"0.022946","0.049071","0.11204","0.02601","0.01991","0.0214","0.01191","0.010337","0"
"0.021011","0.038455","0.070649","0.028128","0.025683","0.026376","0.013713","0.011424","0"
"0.026715","0.038189","0.053018","0.027867","0.030744","0.027986","0.013276","0.012351","0"
"0.021333","0.045976","0.081381","0.02393","0.025214","0.026792","0.012715","0.012081","0"
"0.023512","0.043894","0.047618","0.025138","0.027891","0.027138","0.013113","0.012163","0"
"0.029226","0.066454","0.070986","0.028765","0.018968","0.021105","0.011137","0.011113","0"
"0.055117","0.068266","0.039","0.030323","0.024783","0.024673","0.013208","0.014853","0"
